id,GICS_P_1,GICS_P_2,GICS_P_3,GICS_P_4,SoC_P_1,SoC_P_2,SoC_P_3,CSC_P_1,CSC_P_2,CSC_P_3,CSC_P_4,SACS_P_1,SACS_P_2,SACS_P_3,SACS_P_4,GICS_1,GICS_2,GICS_3,GICS_4,SoC_1,SoC_2,SoC_3,CSC_1,CSC_2,CSC_3,CSC_4,SACS_1,SACS_2,SACS_3,SACS_4,MAS_UK_1,MAS_UK_2,MAS_UK_3,MAS_UK_4,MAS_UK_5,MAS_UK_6,MAS_UK_7,MAS_UK_8,MAS_UK_9,MAS_UK_10,MAS_UK_11,MAS_UK_12,MAS_UK_13,MAS_UK_14,MAS_UK_15,MAS_UK_16,MAS_UK_17,MAS_UK_18,MAS_UK_19,MAS_UK_20,MAS_UK_21,MAS_UK_22,MAS_UK_23,TAI_1,TAI_2,TAI_3,TAI_4,TAI_5,TAI_6,TAI_7,TAI_8,TAI_9,TAI_10,TAI_11,TAI_12,TAI_13,TAI_14,TAI_15,TAI_16,TAI_17,TAI_18,TAI_19,TAI_20,study,experience,happy,tests,test_hours,test_attempts,test_result,skills,gender,age,ethnic,UK,native,psychology,stage,qualification
R_3fHLbDZZC5dwEc3,2,3,5,4,2,4,3,2,3,3,3,2,2,1,1,2,1,3,3,2,2,4,1,2,4,4,1,3,1,2,4,2,5,2,2,3,4,3,1,2,1,2,3,2,1,1,2,3,4,2,4,4,5,2,3,3,2,3,2,4,3,3,4,3,4,2,3,3,2,2,2,3,2,4,2,5,6,1,2,7,4,3,19,9,1,1,1,1,A-Levels
R_3gDI4KjTTyZshGh,1,1,1,1,1,5,1,1,4,3,2,1,3,1,4,1,1,1,1,1,5,1,1,1,4,5,1,3,1,4,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,4,1,4,2,1,4,2,4,4,2,2,4,4,4,1,2,15,2,5,1,4,1,0,2,1,18,7,2,1,1,1,Kent Access
R_AnbwQEZoVyDkeGZ,1,3,4,4,2,2,4,3,4,3,4,2,2,2,2,1,3,3,3,2,2,2,3,3,3,3,1,2,1,2,2,2,3,2,3,3,3,2,1,2,2,1,1,1,1,1,1,4,1,1,2,1,3,1,4,2,4,2,2,2,3,4,3,4,4,3,4,4,4,3,4,4,4,5,1,3,5,1,2,100,3,2,19,9,1,1,1,1,a levels
R_1PXcgVW5VYOKq2W,3,4,4,3,4,4,3,4,5,3,2,2,2,1,2,2,3,3,2,3,4,5,3,4,4,4,3,1,2,2,4,1,2,1,2,2,4,1,1,2,1,2,1,1,1,2,1,3,4,1,2,1,4,3,1,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,8,2,3,6,2,3,9,2,2,20,9,1,1,1,1,A-levels
R_3iCfwmY5WRrbzNt,1,2,3,2,2,1,5,2,4,4,4,1,4,1,1,1,2,1,1,2,1,5,2,3,4,4,1,4,1,1,4,2,4,1,2,4,4,2,1,2,1,1,2,1,1,1,1,3,2,1,1,1,3,2,2,2,1,1,1,2,3,2,3,2,3,1,1,2,3,1,2,1,2,5.5,1,7,4,1.5,2,85,2,2,19,9,1,1,1,1,A levels
R_2saQdc7lFIoRlac,2,3,4,4,4,4,3,3,5,1,2,1,3,1,3,2,3,3,3,3,3,4,4,5,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,4,3,2,2,3,2,3,2,1,1,2,2,2,1,3,1,2,2,1,1,1,6,1,4,5,3,2,7,3,2,18,9,1,1,1,1,ALevels
R_3MAuQwdsSPzsWR1,2,2,3,2,3,3,4,1,3,2,2,1,3,2,2,2,4,3,3,3,3,4,1,3,3,4,2,3,2,3,2,2,3,1,1,4,4,2,1,2,1,4,3,2,4,1,2,5,2,2,1,1,4,2,3,3,3,3,2,4,3,4,4,3,4,3,2,4,4,4,3,3,3,5,2,6,6,2,3,80,3,2,19,10,2,2,1,1,A-levels
R_3maFcnjIqyjlMxs,1,1,1,1,1,1,5,1,2,5,5,1,4,1,2,1,1,1,1,1,1,5,1,2,5,5,1,4,1,2,1,1,5,1,1,2,3,3,1,1,1,1,2,3,1,1,1,2,2,1,1,1,3,2,2,1,2,1,2,1,2,4,3,2,2,1,1,2,2,2,2,1,2,6,1,6,6,1,2,10,2,2,18,1,2,1,1,1,A levels
R_3IVMLYKpUErunzp,2,5,3,4,4,4,4,3,5,1,2,1,3,1,2,2,4,4,4,2,3,4,2,3,1,2,2,3,1,2,5,2,5,3,1,5,5,4,1,3,2,1,2,4,2,1,3,5,4,4,5,4,5,2,2,1,1,1,2,1,1,3,4,4,4,2,2,3,3,3,2,1,2,4,1,4,6,1,1,9,2,2,18,11,1,1,1,1,BTEC 
R_1dHrbUCjUyUsxpo,2,4,4,4,5,4,2,3,4,4,3,2,2,2,2,2,4,4,3,3,3,3,3,4,3,2,1,2,1,2,2,3,4,2,2,3,4,3,1,2,2,4,3,2,3,4,3,5,1,2,2,1,4,2,3,2,2,2,1,3,3,3,3,2,3,1,3,2,3,3,3,2,2,5,1,6,7,2,2,8,3,2,18,9,1,1,1,1,A-levels
